x	m	X	Y	kappa	P	rho	L
1.0007125497195222	1.98900000016697e+33	0.7372519637	0.2446863863	0.005794815988	945.576395	3.292483196e-09	3.845997429e+33
1.000704683221171	1.9890000001668573e+33	0.7372519637	0.2446863863	0.006053543529	996.2772829	3.469052656e-09	3.845997429e+33
1.0006967550839563	1.9890000001667376e+33	0.7372519637	0.2446863863	0.006325422516	1050.124765	3.656544567e-09	3.845997429e+33
1.0006887700493288	1.9890000001666105e+33	0.7372519637	0.2446863863	0.006611043834	1107.301695	3.855586495e-09	3.845997429e+33
1.000680732140338	1.9890000001664756e+33	0.7372519637	0.2446863863	0.006911013846	1167.999808	4.066837852e-09	3.845997429e+33
1.000672645380033	1.989000000166332e+33	0.7372519637	0.2446863863	0.007225964578	1232.423386	4.290994965e-09	3.845997429e+33
1.0006645132167422	1.9890000001661802e+33	0.7372519637	0.2446863863	0.007556566986	1300.788921	4.528800026e-09	3.845997429e+33
1.0006563390987935	1.989000000166019e+33	0.7372519637	0.2446863863	0.007903518054	1373.324787	4.781031798e-09	3.845997429e+33
1.000648126043474	1.9890000001658482e+33	0.7372519637	0.2446863863	0.008267555469	1450.275233	5.048516165e-09	3.845997429e+33
1.00063987678071	1.9890000001656666e+33	0.7372519637	0.2446863863	0.008649459027	1531.898053	5.332127279e-09	3.845997429e+33
1.0006315938967476	1.9890000001654746e+33	0.7372519637	0.2446863863	0.009050043158	1618.466361	5.632781767e-09	3.845997429e+33
1.0006232796904722	1.9890000001652705e+33	0.7372519637	0.2446863863	0.009470168994	1710.26926	5.951447211e-09	3.845997429e+33
1.000614936460769	1.989000000165054e+33	0.7372519637	0.2446863863	0.009910752644	1807.612837	6.289147862e-09	3.845997429e+33
1.0006065659318022	1.9890000001648244e+33	0.7372519637	0.2446863863	0.01037278031	1910.823499	6.646975675e-09	3.845997429e+33
1.0005981701150963	1.9890000001645814e+33	0.7372519637	0.2446863863	0.01085728349	2020.243528	7.026069847e-09	3.845997429e+33
1.0005897505911352	1.9890000001643237e+33	0.7372519637	0.2446863863	0.01136537098	2136.238297	7.427640202e-09	3.845997429e+33
1.0005813087967221	1.9890000001640502e+33	0.7372519637	0.2446863863	0.01189820375	2259.191278	7.852945921e-09	3.845997429e+33
1.000572846312341	1.989000000163761e+33	0.7372519637	0.2446863863	0.01245698277	2389.510145	8.303304269e-09	3.845997429e+33
1.0005643641437536	1.989000000163454e+33	0.7372519637	0.2446863863	0.01304262682	2527.626553	8.780121634e-09	3.845997429e+33
1.0005558631530425	1.9890000001631284e+33	0.7372519637	0.2446863863	0.01365599588	2674.003907	9.284891096e-09	3.845997429e+33
1.0005473439149286	1.9890000001627837e+33	0.7372519637	0.2446863863	0.01429859761	2829.134038	9.819198069e-09	3.845997429e+33
1.000538807147814	1.9890000001624182e+33	0.7372519637	0.2446863863	0.01497191644	2993.532533	1.038467404e-08	3.845997429e+33
1.0005302532827394	1.989000000162031e+33	0.7372519637	0.2446863863	0.0156776112	3167.74762	1.098304916e-08	3.845997429e+33
1.0005216828944263	1.9890000001616207e+33	0.7372519637	0.2446863863	0.01641742902	3352.357725	1.161610131e-08	3.845997429e+33
1.0005130967012765	1.989000000161186e+33	0.7372519637	0.2446863863	0.01719324895	3547.971472	1.228568376e-08	3.845997429e+33
1.0005044951343307	1.9890000001607254e+33	0.7372519637	0.2446863863	0.01800710061	3755.231237	1.299372782e-08	3.845997429e+33
1.0004958787683103	1.9890000001602375e+33	0.7372519637	0.2446863863	0.01886113981	3974.809815	1.374220097e-08	3.845997429e+33
1.0004872480342564	1.9890000001597204e+33	0.7372519637	0.2446863863	0.01975778235	4207.418414	1.45331998e-08	3.845997429e+33
1.0004786035068904	1.989000000159173e+33	0.7372519637	0.2446863863	0.02069965316	4453.801772	1.536885571e-08	3.845997429e+33
1.0004699457609336	1.989000000158593e+33	0.7372519637	0.2446863863	0.02168964882	4714.737933	1.625130121e-08	3.845997429e+33
1.0004612755147875	1.989000000157979e+33	0.7372519637	0.2446863863	0.02273121003	4991.044023	1.718274391e-08	3.845997429e+33
1.0004525937742146	1.989000000157329e+33	0.7372519637	0.2446863863	0.02382861927	5283.558036	1.81653379e-08	3.845997429e+33
1.0004439018323381	1.9890000001566406e+33	0.7372519637	0.2446863863	0.02498816748	5593.137065	1.920124299e-08	3.845997429e+33
1.0004352022754037	1.9890000001559129e+33	0.7372519637	0.2446863863	0.02621878447	5920.626656	2.02924722e-08	3.845997429e+33
1.0004264961091738	1.9890000001551436e+33	0.7372519637	0.2446863863	0.02751245356	6266.949626	2.144120492e-08	3.845997429e+33
1.000417782615247	1.9890000001543296e+33	0.7372519637	0.2446863863	0.02887346783	6633.151362	2.264987929e-08	3.845997429e+33
1.0004090610752212	1.9890000001534692e+33	0.7372519637	0.2446863863	0.03030933146	7020.299897	2.392090754e-08	3.845997429e+33
1.0004003319201378	1.98900000015256e+33	0.7372519637	0.2446863863	0.03182641762	7429.481919	2.525655534e-08	3.845997429e+33
1.0003915952936768	1.989000000151599e+33	0.7372519637	0.2446863863	0.03343060427	7861.811646	2.665900919e-08	3.845997429e+33
1.00038285177056	1.9890000001505843e+33	0.7372519637	0.2446863863	0.03512747847	8318.441047	2.81304229e-08	3.845997429e+33
1.0003741010634262	1.9890000001495124e+33	0.7372519637	0.2446863863	0.03692242247	8800.586038	2.967303682e-08	3.845997429e+33
1.0003653430285955	1.989000000148382e+33	0.7372519637	0.2446863863	0.03882087628	9309.504279	3.1289027e-08	3.845997429e+33
